DateTime,RecordingTime,Values,
2026.01.05-16.27.46,0.008334,1.888121,
,0.408334,0.652428,
,0.497599,0.830167,
,0.549971,0.8975,
,0.566943,0.622392,
,0.582075,0.829964,
,0.597817,0.910491,
,0.61254,0.924669,
,0.626322,1.701673,
,0.641434,0.680146,
,0.657223,1.08658,
,0.672007,1.09559,
,0.686594,1.627854,
,0.700894,0.772401,
,0.715438,0.601191,
,0.728604,-0.000676,
,0.741781,1.39312,
,0.755088,1.519795,
,0.769375,1.647371,
,0.784001,1.218437,
,0.799324,0.898751,
,0.81541,1.37853,
,0.830146,1.12441,
,0.843907,0.889371,
,0.857164,0.050696,
,0.872638,1.055024,
,0.887079,0.903567,
,0.901159,1.141871,
,0.929447,0.90861,
,0.943778,0.550382,
,0.957572,0.87329,
,0.97169,0.787606,
,0.986114,0.768553,
,0.999657,1.716414,
,1.013748,1.761203,
,1.028486,0.874223,
,1.041975,0.276267,
,1.055746,1.540938,
,1.069856,1.656141,
,1.083144,1.104581,
,1.097054,0.843472,
,1.112034,1.024418,
,1.125422,1.946485,
,1.139003,0.646952,
,1.15185,1.444848,
,1.165137,0.907619,
,1.178128,0.645177,
,1.191217,0.712506,
,1.204826,0.653097,
,1.217833,-0.05312,
,1.231178,1.257612,
,1.244871,0.86214,
,1.277113,1.344996,
,1.291057,1.029435,
,1.305475,0.566875,
,1.319376,0.251145,
,1.335147,0.389054,
,1.348418,0.555886,
,1.362245,1.913159,
,1.37535,1.119974,
,1.390061,0.855965,
,1.404922,-0.109361,
,1.417834,0.132292,
,1.431747,0.830015,
,1.445901,1.458016,
,1.459669,0.574297,
,1.472932,0.887125,
,1.487099,0.618941,
,1.500618,1.33152,
,1.514627,1.249543,
,1.5279,0.9164,
,1.540685,1.172872,
,1.554455,1.013061,
,1.578264,0.836141,
,1.591261,0.814506,
,1.605982,0.807011,
,1.619453,1.03488,
,1.633998,0.446508,
,1.64795,1.616917,
,1.660882,0.44965,
,1.67443,0.232396,
,1.689101,1.384349,
,1.702929,1.376805,
,1.715954,0.897491,
,1.729234,1.346578,
,1.742925,0.923223,
,1.756205,1.202248,
,1.769753,1.869943,
,1.782812,1.177743,
,1.795546,0.913065,
,1.807974,1.962261,
,1.822033,-0.11548,
,1.836339,0.852445,
,1.850106,0.916204,
,1.86394,1.54767,
,1.877871,0.716065,
,1.890646,0.401063,
,1.90344,1.57358,
,1.915998,0.928627,
,1.930177,0.233337,
,1.942454,0.080402,
,1.955754,0.773564,
,1.968468,1.194624,
