DateTime,RecordingTime,Values,PartTimes,
2026.01.05-18.01.35,1.888121,0.919179,1.729563,
,0.408334,0.652428,1.849272,
,0.497599,0.830167,1.904356,
,0.549971,0.8975,1.919651,
,0.566943,0.622392,1.932204,
,0.582075,0.829964,1.944165,
,0.597817,0.910491,1.954327,
,0.61254,0.924669,1.962932,
,0.626322,1.701673,1.971352,
,0.641434,0.680146,1.979006,
,0.657223,1.08658,1.985104,
,0.672007,1.09559,1.990104,
,0.686594,1.627854,1.994021,
,0.700894,0.772401,1.996999,
,0.715438,0.601191,1.998819,
,0.728604,-0.000676,1.999806,
,0.741781,1.39312,1.999955,
,0.755088,1.519795,1.999165,
,0.769375,1.647371,1.997339,
,0.784001,1.218437,1.994324,
,0.799324,0.898751,1.989949,
,0.81541,1.37853,1.984857,
,0.830146,1.12441,1.979171,
,0.843907,0.889371,1.972847,
,0.857164,0.050696,1.964423,
,0.872638,1.055024,1.955553,
,0.887079,0.903567,1.945979,
,0.901159,1.141871,1.924006,
,0.929447,0.90861,1.911501,
,0.943778,0.550382,1.898606,
,0.957572,0.87329,1.884546,
,0.97169,0.787606,1.869295,
,0.986114,0.768553,1.854171,
,0.999657,1.716414,1.837623,
,1.013748,1.761203,1.819442,
,1.028486,0.874223,1.802035,
,1.041975,0.276267,1.783525,
,1.055746,1.540938,1.763797,
,1.069856,1.656141,1.74453,
,1.083144,1.104581,1.723663,
,1.097054,0.843472,1.700411,
,1.112034,1.024418,1.678962,
,1.125422,1.946485,1.656582,
,1.139003,0.646952,1.634848,
,1.15185,1.444848,1.611811,
,1.165137,0.907619,1.588756,
,1.178128,0.645177,1.565011,
,1.191217,0.712506,1.539796,
,1.204826,0.653097,1.51521,
,1.217833,-0.05312,1.489514,
,1.231178,1.257612,1.462667,
,1.244871,0.86214,1.397673,
,1.277113,1.344996,1.368846,
,1.291057,1.029435,1.338618,
,1.305475,0.566875,1.309096,
,1.319376,0.251145,1.275186,
,1.335147,0.389054,1.246332,
,1.348418,0.555886,1.215987,
,1.362245,1.913159,1.186982,
,1.37535,1.119974,1.154167,
,1.390061,0.855965,1.120771,
,1.404922,-0.109361,1.091581,
,1.417834,0.132292,1.059972,
,1.431747,0.830015,1.027679,
,1.445901,1.458016,0.996156,
,1.459669,0.574297,0.965714,
,1.472932,0.887125,0.933142,
,1.487099,0.618941,0.902033,
,1.500618,1.33152,0.869796,
,1.514627,1.249543,0.839274,
,1.5279,0.9164,0.80992,
,1.540685,1.172872,0.778376,
,1.554455,1.013061,0.724087,
,1.578264,0.836141,0.694628,
,1.591261,0.814506,0.661446,
,1.605982,0.807011,0.631279,
,1.619453,1.03488,0.598947,
,1.633998,0.446508,0.568195,
,1.64795,1.616917,0.539942,
,1.660882,0.44965,0.510627,
,1.67443,0.232396,0.479236,
,1.689101,1.384349,0.450011,
,1.702929,1.376805,0.422826,
,1.715954,0.897491,0.395476,
,1.729234,1.346578,0.367687,
,1.742925,0.923223,0.341147,
,1.756205,1.202248,0.31452,
,1.769753,1.869943,0.289296,
,1.782812,1.177743,0.265139,
,1.795546,0.913065,0.241997,
,1.807974,1.962261,0.216357,
,1.822033,-0.11548,0.190871,
,1.836339,0.852445,0.166947,
,1.850106,0.916204,0.143519,
,1.86394,1.54767,0.120566,
,1.877871,0.716065,0.1001,
,1.890646,0.401063,0.080176,
,1.90344,1.57358,0.061191,
,1.915998,0.928627,0.040451,
,1.930177,0.233337,0.023106,
,1.942454,0.080402,0.004967,
,1.955754,0.773564,-0.011726,
,1.968468,1.194624,-0.028417,
,1.981703,0.687231,-0.043844,
,1.994471,0.07285,-0.059098,
,2.007683,1.096355,-0.073545,
,2.020826,1.796368,-0.089081,
,2.035773,1.111972,-0.10251,
,2.049514,0.887023,-0.114598,
,2.062678,1.816235,-0.127121,
,2.077298,1.726975,-0.137428,
,2.090271,0.702309,-0.147294,
,2.103702,1.402833,-0.156539,
,2.117454,1.842525,-0.165395,
,2.132051,0.773587,-0.173024,
,2.146187,1.431185,-0.180065,
,2.161123,1.569541,-0.185398,
,2.174291,1.846071,-0.18973,
,2.186892,1.356774,-0.193525,
,2.20037,0.740763,-0.196306,
,2.213073,1.023921,-0.198303,
,2.225698,1.938771,-0.199602,
,2.2394,1.366648,-0.199999,
,2.252803,1.499552,-0.199421,
,2.267766,0.408138,-0.197607,
,2.283784,0.895499,-0.195038,
,2.297668,0.901708,-0.191293,
,2.312427,1.270864,-0.186279,
,2.327822,0.766316,-0.181026,
