DateTime,RecordingTime,Values,
2026.01.05-16.27.46,0.008334,0.919179,
,0.408334,1.729563,
,0.497599,1.849272,
,0.549971,1.904356,
,0.566943,1.919651,
,0.582075,1.932204,
,0.597817,1.944165,
,0.61254,1.954327,
,0.626322,1.962932,
,0.641434,1.971352,
,0.657223,1.979006,
,0.672007,1.985104,
,0.686594,1.990104,
,0.700894,1.994021,
,0.715438,1.996999,
,0.728604,1.998819,
,0.741781,1.999806,
,0.755088,1.999955,
,0.769375,1.999165,
,0.784001,1.997339,
,0.799324,1.994324,
,0.81541,1.989949,
,0.830146,1.984857,
,0.843907,1.979171,
,0.857164,1.972847,
,0.872638,1.964423,
,0.887079,1.955553,
,0.901159,1.945979,
,0.929447,1.924006,
,0.943778,1.911501,
,0.957572,1.898606,
,0.97169,1.884546,
,0.986114,1.869295,
,0.999657,1.854171,
,1.013748,1.837623,
,1.028486,1.819442,
,1.041975,1.802035,
,1.055746,1.783525,
,1.069856,1.763797,
,1.083144,1.74453,
,1.097054,1.723663,
,1.112034,1.700411,
,1.125422,1.678962,
,1.139003,1.656582,
,1.15185,1.634848,
,1.165137,1.611811,
,1.178128,1.588756,
,1.191217,1.565011,
,1.204826,1.539796,
,1.217833,1.51521,
,1.231178,1.489514,
,1.244871,1.462667,
,1.277113,1.397673,
,1.291057,1.368846,
,1.305475,1.338618,
,1.319376,1.309096,
,1.335147,1.275186,
,1.348418,1.246332,
,1.362245,1.215987,
,1.37535,1.186982,
,1.390061,1.154167,
,1.404922,1.120771,
,1.417834,1.091581,
,1.431747,1.059972,
,1.445901,1.027679,
,1.459669,0.996156,
,1.472932,0.965714,
,1.487099,0.933142,
,1.500618,0.902033,
,1.514627,0.869796,
,1.5279,0.839274,
,1.540685,0.80992,
,1.554455,0.778376,
,1.578264,0.724087,
,1.591261,0.694628,
,1.605982,0.661446,
,1.619453,0.631279,
,1.633998,0.598947,
,1.64795,0.568195,
,1.660882,0.539942,
,1.67443,0.510627,
,1.689101,0.479236,
,1.702929,0.450011,
